Date,Item Total,Baked Goods qty,Alcohol qty,Grocery qty,Produce qty,Meat qty,Service deli qty,Dairy-Deli (frz/refrig) qty,Gen Merch qty,Seafood qty,Misc qty,Coupon qty,Misc cost,Alcohol Cost,Baked Goods cost,Seafood cost,Meat cost,Grocery cost,Produce cost,Service Deli cost,Dairy-Deli cost,Gen Merch cost,Coupon Cost,Cost (total),Taxes,Checkout Time,Cashier,Day of the Week,Total Savings,Terminal
10/11/2020,40,1,,13,10,4,,11,2,,,,,,3.99,,33.65,28.88,33.06,,24.74,8.45,,133.61,0.78,8:23:03 AM,Jacqui,Sunday,30.89,5
10/14/2020,7,,1,5,,,,,1,,,,,9.99,,,,23.05,,,,4.59,,35.16,2.12,4:56:25 PM,Alejandra,Wednesday,7.69,5
10/18/2020,37,1,,15,5,5,,8,3,,,,,,1.89,,40.48,34.01,13.22,,27.57,8.77,,126.75,0.81,8:14:06 AM,Theresa,Sunday,24.25,7
10/21/2020,3,,,1,,,,,2,,,1,,,,,,1.49,,,,33.58,1,37.01,3.18,1:07:00 AM,Jessica,Wednesday,1.24,
10/21/2020,2,,,,,,,,2,,,,,,,,,,,,,26.48,,29.06,2.58,1:05:05 PM,Jessica,Wednesday,0,
10/25/2020,36,,,14,4,6,1,8,3,,,,,,,,32.77,32.61,12.96,11.99,26.76,9.47,,125.1,1.04,8:18:49 AM,Calvin Sousa,Sunday,21.97,7
10/31/2020,30,1,,7,10,6,,5,,,,1,,,3.99,,48.31,27.86,30.13,,18.12,,2,114.33,0.56,8:12:00 AM,Dolores,Sunday,28.21,5
11/8/2020,33,1,,11,8,4,1,7,1,,,,,,1.89,,48.29,31.77,26.35,8.55,27.53,6.99,,152.48,1.11,8:25:28 AM,Dawn,Sunday,12.33,5
11/15/2020,41,1,,17,5,6,,10,3,,,2,,,3.49,,46.85,44.17,12.77,,32.67,10.77,21,135.3,1.59,8:39:33 AM,Alisha(Leigh),Sunday,34.39,7
11/20/2020,2,,,1,,1,,,,,,,,,,,6.49,4.29,,,,,,10.78,0,11:30:35 AM,FastLane 1,Friday,0.4,Self
11/21/2020,1,,,,,1,,,,,,,,,,,9.99,,,,,,,9.99,0,2:54:00 PM,Self Serve,Saturday,3,
11/22/2020,35,,,18,6,5,,6,,,,,,,,,49.36,39.73,16,,20.48,,,125.67,0,8:26:33 AM,Jacqui,Sunday,21.94,5
11/29/2020,38,1,,11,7,5,,11,3,,,,,,3.99,,39.14,23.7,20.05,,29.9,16.97,,140.3,1.57,8:37:44 AM,Alejandra,Sunday,8.24,5
12/6/2020,33,1,,13,4,4,,9,2,,,,,,3.99,,28.86,23.79,10.36,,26.5,5.28,,99.68,0.9,8:06:38 AM,Jacqui,Sunday,7.5,7
12/13/2020,42,,,21,7,8,,4,1,,,,,,,,61.87,58.12,19.44,,15.6,6.79,,162.39,1.37,8:26:56 AM,Alejandra,Sunday,13.55,5
12/18/2020,7,,,2,1,,,2,1,,1,,$50.00 ,,,,,7.33,16.99,,4.68,5.99,,87.12,2.13,9:41:24 AM,Aminah,Friday,2.5,7
12/20/2020,47,,,15,6,5,,16,5,,,,,,,,49.71,33.58,16.05,,61.45,28.95,,192.83,3.09,8:45:42 AM,Jacqui,Sunday,50.27,7
12/21/2020,1,,,,,,,1,,,,,,,,,,,,,3.29,,,3.29,0,8:37:37 AM,FastLane1,Monday,0,
12/27/2020,28,1,,11,3,4,,5,3,,,,,,2.49,,32.94,22.93,12.98,,15.21,13.13,,100.89,1.21,8:16:29 AM,Alejandra,Sunday,9.54,5
1/2/2021,2,,,2,,,,,,,,,,,,,,3.78,,,,,,3.78,0,1:35:00 PM,Dean,Saturday,0,
1/3/2021,26,1,,5,7,5,,7,1,,,,,,3.69,,29.75,12.51,17.14,,28.63,4.39,,96.79,0.68,8:23:03 AM,Jacqui,Sunday,4.58,5
1/10/2021,36,1,,13,4,9,,6,1,,,,,,3.99,,57.46,31.55,13.57,,15.94,6.99,,130.66,0.65,8:17:07 AM,Theresa,Sunday,18.22,5
1/24/2021,41,,,16,10,8,,6,3,,,,,,,,46.65,,28.85,,22.01,7.43,,140.63,0.69,8:20:38 AM,Theresa,Sunday,16.91,5
1/26/2021,9,,,1,1,,3,2,,,2,,$9.63 ,,,,,1.59,3.98,22.97,5.98,,,44.15,0,1:03:20 PM,Caitlin,Tuesday,0,1
1/29/2021,3,,,2,,,,,1,,,,,,,,,2.9,,,,7.89,,11.52,0.73,10:43:01 AM,FastLane4,Friday,0,
1/31/2021,3,,,2,,1,,,,,,,,,,,3.99,5,,,,,,8.99,0,8:34:47 AM,Self Serve,Sunday,2.58,Fastlane
1/31/2021,23,1,,5,4,4,,8,1,,,,,,1.89,,36.22,14.81,14.89,,26.37,2.99,,97.45,0.28,8:20:53 AM,Jacqui,Sunday,24.42,7
1/31/2021,1,,,,,,,,1,,,,,,,,,,,,,2.19,,2.39,0.2,8:29:00 AM,FastLane1,Sunday,0.4,Self
2/2/2021,4,,,,1,,,1,,,2,,,,,,8.11,,3.98,,11.49,,,23.58,0,1:15:01 PM,Caitlin,Tuesday,0,1
2/7/2021,30,,,10,8,7,,5,,,,,,,,,40.8,46.8,19.99,,16.85,,,126.2,1.76,8:16:24 AM,Alisha(Leigh),Sunday,6.93,7
2/14/2021,37,2,,16,7,6,,6,,,,,,,5.58,,51.17,55.66,21.1,,17.11,,14.18,138.22,1.78,8:36:34 AM,Jacqui,Sunday,20.93,7
2/16/2021,5,,,,1,,2,2,,,,,,,,,,0.67,,7.35,19.48,,,27.5,0,12:37:00 PM,Caitlin,Tuesday,0,5
2/21/2021,33,,,7,7,8,1,8,2,,,,,,,,52.21,20.02,15.19,5.49,24.44,2.5,16.24,111.14,0.9,8:19:42 AM,Jacqui,Sunday,28,6
2/28/2021,43,2,,13,7,8,,13,,,,,,,5.88,,61.1,24,25.3,,27.61,,,143.89,0,8:35:07 AM,Alisha(Leigh),Sunday,17.82,5
3/7/2021,46,2,,22,10,2,,10,,,,,,,3.98,,19.99,75.1,24.34,,22.26,,,152.5,1.98,8:45:43 AM,Theresa,Sunday,17.16,5
3/14/2021,23,1,,3,4,5,2,6,2,,,,,,4.49,,50.74,10.57,12.75,14.48,22.58,7.44,,124.01,0.96,8:14:05 AM,Alisha(Leigh),Sunday,17,4
3/21/2021,33,1,,13,6,7,,6,,,,,,,3.49,,66.5,39.93,18.42,,22.94,,,146.29,0,8:40:22 AM,Theresa,Sunday,11.48,5
3/28/2021,32,,,9,1,9,,11,2,,,,,,,,54.6,22.58,3.99,,42.11,12.48,,126.66,1.15,8:25:37 AM,Alisha(Leigh),Sunday,10.75,7
4/18/2021,43,,,21,5,8,,6,3,,,,,,,,60.67,59.91,15.71,,18.01,15.87,,172.56,2.39,8:30:05 AM,Jacqui,Sunday,7.3,5
4/26/2021,2,,,1,,,,1,,,,,,,,,,3.99,,,9.99,,,13.98,0,8:00:00 PM,Fastlane,Monday,0,Self
5/2/2021,30,1,,11,6,5,,6,,,,1,,,2.99,,36.22,26.47,15.17,,27.9,,10,99.42,0.58,8:26:18 AM,Martie,Sunday,16.25,5
5/9/2021,32,,,16,5,4,,6,,,,,,,,,30.89,39.64,15.74,,14.69,,,100.96,0,8:26:44 AM,Alisha(Leigh),Sunday,14.6,6
5/16/2021,1,,,,,1,,,,,,,,,,,8.69,,,,,,,8.69,0,8:20:39 AM,Fastlane3,Sunday,0,Self
5/23/2021,36,,,15,8,5,,7,1,,,,,,,,34.92,40.12,25.23,,26.05,5.49,20,109.74,0.43,8:39:31 AM,Alejandra,Sunday,30,3
5/27/2021,4,,,,1,,,,,,3,,$17.86 ,,,,,,3.99,,,,,23.02,1.17,1:47:01 PM,Jazmyn,Thursday,0,2
5/30/2021,32,1,,13,5,5,,7,1,,,,,,1.89,,33.4,41.79,24.12,,32.61,2.99,,138.14,1.34,8:21:40 AM,Martie,Sunday,15.26,7
6/20/2021,26,1,,10,6,3,,6,,,,,,,1.89,,40.67,24.51,20.32,,20.34,,,108.84,1.11,8:24:36 AM,Theresa,Sunday,6.75,2
6/23/2021,2,2,,,,,,,,,,,,,11.98,,,,,,,,,11.98,0,1:33:01 PM,Madison,Wednesday,0,5
